name,comment,cost,choicecategory,blurb,supplier,price,multiplier,published,sortorder
Intel Core i5-3360M @ 2.80GHz,CPU Passmark score 4285,0.0,CPUs,Intel Core i5-3360M @ 2.80GHz - CPU Passmark score 4285,,,,False,969
AMD Phenom II X4 965,CPU Passmark score 4273 - Price is last known price,145.0,CPUs,AMD Phenom II X4 965 - CPU Passmark score 4273,,,,True,968
Intel Xeon X5450 @ 3.00GHz,CPU Passmark score 4273 - Price is last known price,852.0,CPUs,Intel Xeon X5450 @ 3.00GHz - CPU Passmark score 4273,,,,True,967
Intel Xeon X5698 @ 4.40GHz,CPU Passmark score 4272,0.0,CPUs,Intel Xeon X5698 @ 4.40GHz - CPU Passmark score 4272,,,,False,966
Intel Xeon W3530 @ 2.80GHz,CPU Passmark score 4269 - Price is last known price,285.0,CPUs,Intel Xeon W3530 @ 2.80GHz - CPU Passmark score 4269,,,,True,965
Intel Core i5-4400E @ 2.70GHz,CPU Passmark score 4257,0.0,CPUs,Intel Core i5-4400E @ 2.70GHz - CPU Passmark score 4257,,,,False,964
Intel Core2 Quad Q9650 @ 3.00GHz,CPU Passmark score 4255,224.95,CPUs,Intel Core2 Quad Q9650 @ 3.00GHz - CPU Passmark score 4255,,,,True,963
AMD A10-5700 APU,CPU Passmark score 4240,128.98,CPUs,AMD A10-5700 APU - CPU Passmark score 4240,,,,True,962
Intel Xeon X3363 @ 2.83GHz,CPU Passmark score 4235,0.0,CPUs,Intel Xeon X3363 @ 2.83GHz - CPU Passmark score 4235,,,,False,961
Intel Core i3-3220 @ 3.30GHz,CPU Passmark score 4227,120.99,CPUs,Intel Core i3-3220 @ 3.30GHz - CPU Passmark score 4227,,,,True,960
Intel Core i5-3340M @ 2.70GHz,CPU Passmark score 4226,0.0,CPUs,Intel Core i5-3340M @ 2.70GHz - CPU Passmark score 4226,,,,False,959
Intel Core i3-4130T @ 2.90GHz,CPU Passmark score 4224,134.99,CPUs,Intel Core i3-4130T @ 2.90GHz - CPU Passmark score 4224,,,,True,958
Intel Xeon E5462 @ 2.80GHz,CPU Passmark score 4202 - Price is last known price,255.99,CPUs,Intel Xeon E5462 @ 2.80GHz - CPU Passmark score 4202,,,,True,957
Intel Xeon E5450 @ 3.00GHz,CPU Passmark score 4198 - Price is last known price,1058.95,CPUs,Intel Xeon E5450 @ 3.00GHz - CPU Passmark score 4198,,,,True,956
